patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
828,Мельников,Макар,Феофанович,1976-11-05,"ст. Переславль-Залесский, наб. Казанская, д. 95, 7",Подводник,М
829,Щукин,Агата,Жоресович,1995-10-26,"ст. Мончегорск, ул. Нагорная, д. 911 к. 2, 727219",Кинодраматург,Ж
830,Лукин,Галактион,Трофимович,1998-02-07,"ст. Эльтон, наб. Ручейная, д. 7/4, 908654",Парикмахер,М
831,Кулакова,Авксентий,Никифоровна,1944-03-20,"ст. Луга, алл. Медицинская, д. 1 стр. 6, 027708",Социолог,Ж
832,Мамонтов,Конон,Якубович,1986-07-04,"п. Витим, наб. Логовая, д. 571 стр. 70, 433635",Оператор кино и телевидения,М
833,Миронов,Артем,Макаровна,1999-09-10,"ст. Магадан, бул. Путейский, д. 8/7, 177944",Мастер маникюра,Ж
834,Дьячкова,Елена,Семеновна,1997-10-19,"п. Архангельск, ул. Халтурина, д. 3, 761169",Веб-программист,М
835,Киселев,Алла,Фокич,2022-01-18,"ст. Соболево, наб. Гоголя, д. 4, 147729",Правовед,М
836,Агафонов,Любомир,Васильевич,1995-06-28,"с. Сузун, ул. Коммунаров, д. 45 к. 91, 561548",Предприниматель,Ж
837,Кириллова,Остап,Гордеевич,1936-04-16,"клх Солнечногорск, пер. Проезжий, д. 80 стр. 28, 9",Фуражир,Ж
838,Васильева,Мир,Гурьевич,1982-10-21,"с. Обоянь, пр. Запорожский, д. 2 к. 67, 436278",Сексопатолог,Ж
839,Исаева,Савва,Богданович,1928-09-24,"клх Нерчинск, ш. Партизанское, д. 58 к. 2, 310914",Стилист,М
840,Некрасова,Ким,Еремеевич,2001-07-17,"д. Томпа, ш. Фадеева, д. 1, 142934",Иллюстратор,Ж
841,Константинов,Прокофий,Феоктистович,2019-07-01,"г. Уссурийск, пер. Логовой, д. 50 к. 3/4, 294933",Маркетолог,М
842,Шилов,Гедеон,Марсович,1928-02-12,"ст. Макаров, бул. Енисейский, д. 8 стр. 5/8, 28070",Врач функциональной диагностик,М
843,Яковлева,Милица,Геннадьевна,1925-08-19,"д. Краснодар, ул. Владимирская, д. 5, 513975",Физиотерапевт,Ж
844,Лихачев,Афанасий,Святославовна,2005-12-11,"п. Серебряные Пруды, пр. Братский, д. 8, 782129",Художник,М
845,Игнатьев,Панфил,Анатольевич,1996-05-16,"клх Владикавказ, пр. Достоевского, д. 1/5, 096762",Эксперт-криминалист,Ж
846,Лебедева,Гурий,Яковлевна,2015-10-02,"клх Элиста, пр. Слободской, д. 593, 281702",Слесарь-механик,Ж
847,Красильникова,Аверкий,Аксёнович,1929-07-07,"ст. Яхрома, пр. Верхний, д. 4, 090064",Морской пехотинец,М
848,Белякова,Панкратий,Харитонович,1987-12-20,"г. Яхрома, пер. Лазурный, д. 1 к. 3, 566465",Фальцовщик,М
849,Григорьев,Иванна,Георгиевич,2006-01-11,"клх Карталы, ул. Слободская, д. 42, 098386",Оператор вооружения,Ж
850,Нестерова,Самуил,Кирилловна,1946-11-13,"клх Орехово-Зуево, алл. Речная, д. 5/2 стр. 708, 0",Столяр-краснодеревщик,М
851,Федосеева,Петр,Ааронович,1929-05-09,"к. Грозный, алл. Стадионная, д. 4 к. 348, 677597",Специалист по стрижке овец,Ж
852,Шестакова,Сила,Фомич,1981-02-24,"ст. Нефтегорск (Самар.), наб. Королева, д. 976 стр",Начальник склада,Ж
853,Макаров,Сила,Фокич,1937-03-01,"г. Хасан, пер. Ломоносова, д. 5 к. 654, 528430",Шлифовщик,М
854,Доронин,Арсений,Владленович,1925-10-09,"д. Соликамск, наб. Комарова, д. 1 к. 29, 008836",Биофизик,М
855,Белов,Геннадий,Федосьевич,2012-07-01,"к. Двинской, алл. Шмидта, д. 7/3 стр. 9/6, 077577",Врач МСЭК,М
856,Тимофеева,Дмитрий,Кирилловна,2001-02-07,"ст. Щелково, пер. Магистральный, д. 93 к. 3/8, 599",Зенитчик,М
857,Журавлев,Ким,Афанасьевна,1953-06-09,"ст. Катайск, ул. Грибоедова, д. 510, 391382",Орнитолог,М
858,Орехова,Ананий,Эдуардовна,1964-03-07,"к. Углегорск, ул. Проезжая, д. 8 к. 73, 213217",Сиделка,М
859,Гущин,Вениамин,Жанович,2012-02-13,"г. Ямбург, алл. Учительская, д. 551 к. 9/1, 177240",Кок,Ж
860,Игнатьев,Ефрем,Демьянович,2020-06-17,"п. Горячинск, пер. Камский, д. 767, 931079",Сурдопедагог,Ж
861,Калинин,Нифонт,Ефстафьевич,1984-11-10,"клх Алагир, ш. Прибрежное, д. 6/5 к. 949, 709530",Монтажник,М
862,Лаврентьев,Евлампий,Аркадьевна,1985-11-13,"с. Братск, пр. Хуторской, д. 16 стр. 8/9, 022489",Инженер-взрывотехник,М
863,Лобанова,Панкратий,Евгеньевна,1964-10-05,"г. Малоярославец, пр. Тельмана, д. 67 стр. 9, 9671",Военный судья,М
864,Устинова,Галина,Измаилович,2013-11-21,"ст. Верхоянск, пер. Прудовой, д. 141 стр. 67, 7706",Геодезист,Ж
865,Орехова,Парамон,Гаврилович,1971-03-02,"г. Лесной (Сверд.), ш. Севастопольское, д. 1, 9663",Маркетолог,Ж
866,Ларионов,Эммануил,Трофимович,2023-10-25,"ст. Баргузин, алл. Театральная, д. 25 к. 400, 1188",Коммерческий директор,Ж
867,Дмитриев,Анатолий,Захаровна,1934-02-09,"с. Кашира, пр. Кольцова, д. 3, 008755",Дефектолог,М
868,Дроздова,Адам,Юльевна,1973-04-12,"г. Александров, алл. Специалистов, д. 98 стр. 754,",Тюремный надзиратель,М
869,Комиссаров,Епифан,Августович,2004-12-24,"ст. Иваново, ш. Осенное, д. 7 к. 76, 911137",Реаниматолог,М
870,Доронин,Ираклий,Валерианович,1988-06-13,"п. Нижний Тагил, наб. Громова, д. 3 стр. 5/5, 9537",Борт-стрелок,Ж
871,Кудрявцев,Доброслав,Руслановна,1998-11-01,"ст. Курильск, ул. Заозерная, д. 69, 792587",Декан,М
872,Антонова,Савва,Гавриилович,1935-12-29,"д. Хабаровск, ш. Правды, д. 295 к. 3, 684225",Невропатолог,М
873,Овчинникова,Светозар,Филиппович,2015-04-25,"п. Кимры, алл. Детская, д. 65 к. 66, 700756",Монтажник радиоэлектронной апп,М
874,Ермакова,Панкрат,Леоновна,1968-05-24,"п. Куртамыш, пер. Заовражный, д. 5 к. 2/8, 102609",Штурман,М
875,Жданова,Олимпий,Валерьевич,1927-12-24,"ст. Карабудахкент, ул. Хуторская, д. 1 стр. 8/3, 1",Кузнец,М
876,Корнилов,Сидор,Филиппович,2021-08-20,"п. Зарайск, ш. 8 Марта, д. 1, 087225",Диетолог,Ж
877,Бобылева,Регина,Демидович,2017-02-08,"г. Когалым, ш. Ворошилова, д. 367 к. 462, 520834",Десантник,Ж
878,Ширяев,Марина,Фадеевич,1959-11-28,"ст. Ишим, ул. Автомобилистов, д. 25 к. 8, 106516",Геолог,М
879,Кононова,Полина,Егоровна,2020-02-29,"г. Домодедово, пр. Проточный, д. 1/7 стр. 84, 7840",Химик,Ж
880,Анисимова,Марфа,Феофанович,2014-04-25,"ст. Забайкальск, ул. Лунная, д. 824 к. 5/2, 211244",Стрелок,М
881,Соколов,Август,Валерьевич,2022-06-01,"к. Норильск, наб. Циолковского, д. 64 стр. 39, 017",Машинист локомотива,М
882,Денисова,Елисей,Адамович,1967-09-28,"г. Усинск, ул. Братская, д. 9 к. 8, 354448",Кинолог,М
883,Игнатова,Ян,Иларионович,1983-06-03,"с. Когалым, наб. Ушакова, д. 1 стр. 5/7, 543233",Гляциолог,Ж
884,Андреева,Тарас,Глебович,1961-12-16,"г. Щельяюр, пр. Блюхера, д. 676 к. 93, 685148",Переплётчик,М
885,Крюков,Стоян,Юльевна,1929-03-04,"клх Шумиха, наб. Гайдара, д. 550 стр. 760, 330360",Реставратор,М
886,Ситникова,Тит,Ерофеевич,1944-07-15,"с. Белоярский, бул. 70 лет Октября, д. 7 стр. 645,",Химик,Ж
887,Мясникова,Ратибор,Георгиевич,1986-11-24,"г. Каменск-Шахтинский, пер. Моховой, д. 133, 41186",Антрополог,Ж
888,Суворов,Кондрат,Яковлевна,1979-11-15,"клх Лагань, бул. Сельский, д. 4/6 стр. 8/8, 632754",Брокер,Ж
889,Максимова,Артем,Виленович,1998-08-20,"г. Александров Гай, пр. Гражданский, д. 3/7 к. 5/8",Менеджер по работе с клиентами,Ж
890,Данилова,Матвей,Валентиновна,2023-05-11,"к. Лабинск, ш. Тихое, д. 3/3 стр. 3/6, 271363",Электрик,М
891,Щукина,Флорентин,Кузьминична,1932-05-08,"г. Шахты, ул. Слободская, д. 5/8 стр. 1, 249569",Штукатур,М
892,Орлова,Любовь,Брониславович,2019-08-21,"п. Истра, пр. Коммуны, д. 13 к. 558, 442456",Формовщик,М
893,Яковлева,Кира,Тимофеевна,1996-03-21,"п. Алапаевск, ш. Санаторное, д. 809 к. 603, 682962",Педиатр,Ж
894,Маркова,Лукия,Аркадьевна,1981-12-13,"к. Волхов, пер. Ясный, д. 3 стр. 63, 301637",Огнемётчик,М
895,Федоров,Анжелика,Альбертовна,1951-07-20,"ст. Инта, пр. Южный, д. 8, 093845",Воспитатель,М
896,Яковлев,Мечислав,Харлампьевич,1993-08-04,"д. Льгов, наб. Ростовская, д. 5/5 к. 50, 292530",Эпидемиолог,Ж
897,Романов,Алексей,Натановна,1985-06-08,"г. Курильск, бул. Литейный, д. 1/7, 498225",Растениевод,Ж
898,Орехова,Милий,Даниловна,1944-10-11,"с. Жиганск, ш. Инженерное, д. 9/8, 079850",Бульдозерист,Ж
899,Субботин,Наталья,Артемьевич,2005-05-23,"г. Волхов, наб. Рылеева, д. 5, 356784",Композитор,М
900,Шубин,Мстислав,Львовна,1985-02-13,"п. Гдов, алл. Курская, д. 9/4, 984560",Модель,М
901,Ермаков,Жанна,Матвеевна,1943-11-05,"к. Белогорск (Амур.), наб. Прудная, д. 459 к. 4, 5",Горнострелок,Ж
902,Филатова,Владимир,Федотович,1953-06-19,"ст. Тихвин, алл. Привокзальная, д. 6 к. 4/7, 14442",Дилер,М
903,Власов,Изяслав,Гавриилович,1998-05-05,"с. Ступино, пер. Локомотивный, д. 1/8, 135310",Модель,М
904,Киселев,Леонид,Венедиктович,1944-10-13,"с. Магас, алл. Ушакова, д. 1 стр. 2/9, 779843",Тренд-вотчер,Ж
905,Макарова,Рюрик,Владиленович,1991-02-23,"г. Рубцовск, наб. Южная, д. 1/1 стр. 555, 816386",Капитан судна,М
906,Жданов,Боян,Власович,2018-04-07,"к. Черемхово, ш. ДОС, д. 4/1 стр. 2, 494737",Композитор,Ж
907,Федосеева,Исай,Олеговна,2019-01-12,"к. Верхний Уфалей, ш. Западное, д. 610, 695236",Эфферентолог,М
908,Горбачева,Тимур,Матвеевна,1940-12-05,"п. Улан-Удэ, пр. Ульянова, д. 960 стр. 529, 350077",Механизатор,Ж
909,Яковлев,Захар,Артемовна,1980-07-04,"к. Мелеуз, пр. Запорожский, д. 3 к. 593, 650454",Виноградарь,Ж
910,Дьячков,Стоян,Егоровна,1925-08-14,"г. Октябрьское (Хант.), алл. Казанская, д. 7 к. 7/",Ботаник,М
911,Баранова,Лазарь,Трофимович,1953-01-05,"п. Чермоз, ул. Заозерная, д. 8/1 стр. 891, 563534",Гляциолог,Ж
912,Трофимов,Кондрат,Матвеевна,2002-11-16,"д. Новороссийка, наб. Азина, д. 82, 219441",Химик,Ж
913,Маслов,Ираида,Витальевич,1973-03-18,"ст. Щельяюр, наб. 60 лет СССР, д. 1/3 стр. 37, 067",Печатник,М
914,Мишин,Родион,Артемьевич,2005-09-04,"п. Пушкино (Моск.), наб. Ломоносова, д. 8 стр. 9/9",Сварщик,Ж
915,Попова,Богдан,Ефстафьевич,1952-02-07,"п. Кузнецк, наб. Мира, д. 707 стр. 934, 469242",Фармацевт,М
916,Степанов,Порфирий,Брониславович,2011-07-24,"д. Химки, наб. Приморская, д. 8/3 к. 464, 153213",Мастер педикюра,М
917,Семенова,Ладимир,Борисович,2015-03-09,"д. Нижнекамск, бул. Большевистский, д. 744 стр. 4,",Социолог,М
918,Исаков,Авдей,Геннадьевна,1961-01-13,"д. Владикавказ, ул. Краснофлотская, д. 6/5, 468336",Столяр,Ж
919,Осипова,Всемил,Никифоровна,1991-03-28,"к. Миллерово, пер. Победы, д. 6, 216340",Психиатр,М
920,Брагина,Николай,Олеговна,1940-05-22,"п. Канск, ш. Детское, д. 54, 284256",Горничная,М
921,Рожков,Савелий,Анатольевна,2012-03-23,"ст. Кировск (Мурм.), пр. Суворова, д. 69 стр. 9, 6",Маркшейдер,М
922,Тарасов,Ферапонт,Владленович,1927-03-14,"с. Чехов, алл. Молодежная, д. 3 к. 175, 907556",Связист,Ж
923,Чернов,Парамон,Валериевна,2017-07-02,"с. Новый Уренгой, пер. Чернышевского, д. 2/5 к. 22",Кондитер,Ж
924,Пестов,Карл,Иосипович,1950-10-26,"ст. Астрахань, ш. Садовое, д. 1 к. 20, 407566",Военный юрист,Ж
925,Никонов,Август,Тарасович,2014-06-23,"п. Аргаяш, пр. Никитина, д. 87 к. 7, 020007",Инженер-энергетик,Ж
926,Зиновьев,Арсений,Фокич,1968-02-26,"д. Нижний Новгород, алл. Строительная, д. 51, 1001",Диспетчер,М
927,Щербакова,Мария,Антоновна,1965-06-05,"клх Горячий Ключ, ш. Базарное, д. 2 к. 8/2, 686514",Диджей,М
928,Носова,Ян,Дорофеевич,2014-12-08,"ст. Белорецк, ш. Линейное, д. 252 стр. 3/5, 941881",Военный юрист,Ж
929,Родионов,Яков,Владимировна,1986-03-28,"с. Печора, бул. Виноградный, д. 9/4, 307427",Патологоанатом,Ж
930,Быкова,Герасим,Сергеевна,1985-01-06,"п. Сосьва (Хант.), бул. Юбилейный, д. 45 стр. 684,",Программист,Ж
931,Большаков,Аскольд,Юльевна,2005-11-14,"к. Оренбург, пр. Рябиновый, д. 53 стр. 30, 656066",Юрисконсульт,Ж
932,Кузнецов,Леон,Фролович,1935-07-16,"клх Кулу, ул. Невского, д. 2/3 к. 1, 686637",Стрелочник,Ж
933,Пестов,Лукьян,Ярославович,1987-05-25,"д. Ярославль, пер. Кузнецкий, д. 9/4 стр. 93, 8750",Сыровар,М
934,Дьячкова,Венедикт,Станиславовна,1951-08-30,"к. Белогорск (Амур.), наб. Советской Армии, д. 6/2",Нарколог,Ж
935,Брагина,Екатерина,Владимировна,1943-07-17,"п. Надым, алл. Лесхозная, д. 388 к. 884, 701924",Тюремный надзиратель,М
936,Егорова,Венедикт,Геннадьевна,1998-04-08,"г. Мичуринск, пр. Красный, д. 1, 891917",Химик-контролер,М
937,Колобов,Силантий,Валерьянович,1987-05-27,"г. Лянтор, ул. Коммунальная, д. 8, 973826",Аккумуляторщик,Ж
938,Григорьева,Симон,Анисимович,1955-08-24,"к. Королев, алл. Ульянова, д. 69 к. 9/7, 848383",Гранатомётчик,Ж
939,Анисимова,Ипполит,Аксёнович,1967-02-13,"д. Чита, бул. Болотный, д. 4/4 к. 62, 532737",Вокалист,М
940,Лукин,Анжелика,Антонович,1948-10-30,"к. Мостовской, алл. Дружба, д. 7/7, 387852",Актёр,М
941,Родионова,Кира,Васильевна,1957-03-14,"к. Аргаяш, наб. Вокзальная, д. 5 стр. 423, 006855",Диверсант,М
942,Аксенова,Пелагея,Фадеевич,1960-12-07,"г. Чикола, ш. Маяковского, д. 973 стр. 46, 436693",Копирайтер,М
943,Кабанов,Марфа,Игнатович,1925-04-08,"с. Каменск-Уральский, алл. Володарского, д. 7 к. 3",Архивариус,Ж
944,Ефремов,Епифан,Викторович,2002-12-22,"д. Ижевск, пр. Технический, д. 5 стр. 45, 354010",Издатель,Ж
945,Некрасов,Демид,Эдуардовна,1934-04-26,"с. Каменномостский, ул. Моховая, д. 1/8 к. 7, 7948",Полицейский,Ж
946,Симонов,Назар,Гурьевич,2020-02-12,"с. Междуреченский, бул. Клары Цеткин, д. 8/2 стр. ",Официант,М
947,Кудряшова,Захар,Борисовна,1991-11-10,"клх Хабаровск, наб. Ручейная, д. 120 к. 3/4, 40648",Диспетчер,Ж
948,Власова,Остромир,Власович,1964-09-21,"к. Баксан, наб. 60 лет СССР, д. 204 стр. 96, 35627",Фтизиатр,М
949,Громов,Моисей,Ефимьевич,2009-10-12,"п. Королев, бул. Овражный, д. 473, 959650",Тыловик,М
950,Федорова,Харлампий,Гаврилович,1927-09-01,"с. Челюскин, ул. Фурманова, д. 49 стр. 847, 224074",Снабженец,Ж
951,Морозова,Октябрина,Зиновьевич,1925-12-07,"с. Яшкуль, пр. Юности, д. 3/9, 171196",Шифровальщик,М
952,Бобылева,Бронислав,Ильясович,1936-05-14,"к. Диксон, наб. Молодежная, д. 915 стр. 4, 389170",Травматолог,М
953,Сафонов,Василиса,Тимурович,2021-10-22,"г. Киров (Вятка), наб. Казачья, д. 5, 398957",Торакальный хирург,М
954,Ефимова,Архип,Гавриилович,2008-12-03,"г. Киренск, пер. Орджоникидзе, д. 6/1 к. 6, 255150",Нейрохирург,М
955,Ершова,Ульяна,Юльевич,1984-06-30,"г. Каменномостский, бул. Павлика Морозова, д. 38 к",Тюремный надзиратель,М
956,Сорокина,Лавр,Филимонович,1974-10-21,"клх Оленегорск (Якут.), ш. Нахимова, д. 7/7 к. 5/4",Начальник гаупвахты,Ж
957,Жданова,Гостомысл,Исидорович,2022-02-20,"п. Верещагино (Перм.), бул. Камский, д. 890 стр. 3",Бондарь,М
958,Щербаков,Фортунат,Зиновьевич,2000-02-08,"п. Вуктыл, ул. Надежды, д. 3/6 к. 822, 779258",Фотограф,Ж
959,Кудряшов,Остап,Яковлевна,1943-04-30,"к. Комсомольск-на-Амуре, бул. Космический, д. 163,",Редактор,Ж
960,Никифоров,Ираклий,Руслановна,1927-04-14,"п. Сорочинск, пер. Театральный, д. 21, 246449",Менеджер по работе с клиентами,М
961,Колесников,Мирослав,Архипович,1954-11-28,"клх Ростов, ш. Депутатское, д. 9/3 стр. 9/4, 84048",Культуролог,Ж
962,Красильников,Вячеслав,Гордеевич,1934-07-12,"с. Нижний Новгород, пер. Болотный, д. 59 к. 625, 1",Фальцовщик,М
963,Рогов,Герман,Леонидовна,1970-03-21,"п. Сусуман, пер. Юбилейный, д. 8 стр. 67, 332841",Релайтер,М
964,Калашников,Савелий,Эдгардович,1990-02-20,"ст. Курган, бул. Краснодарский, д. 7, 327496",Нефролог,Ж
965,Капустина,Порфирий,Кузьминична,2007-09-10,"ст. Голицыно, наб. Мельничная, д. 7 к. 38, 907046",Рефлексотерапевт,М
966,Александрова,Эмилия,Евстигнеевич,2012-03-13,"к. Махачкала, ш. Садовое, д. 607 к. 6, 093392",Безработный,Ж
967,Бобылева,Галина,Евгеньевна,2008-04-12,"с. Бугульма, наб. Сенная, д. 8/5 к. 603, 669582",Шкипер,Ж
968,Никонов,Устин,Георгиевна,1993-08-18,"к. Тверь, ш. Смоленское, д. 7, 010661",Мастер маникюра,Ж
969,Сергеева,Агап,Юльевна,1981-03-12,"д. Петухово, алл. Сиреневая, д. 9 к. 91, 201667",Биохимик,М
970,Туров,Юлий,Викторович,1956-11-17,"г. Геленджик, пр. Тенистый, д. 8, 879330",Табаковод,М
971,Кудрявцев,Амвросий,Григорьевич,1999-05-01,"д. Калевала, ш. Механическое, д. 50, 516447",Издатель,М
972,Андреев,Марфа,Андреевич,1999-11-22,"с. Апшеронск, наб. Жданова, д. 47, 276537",Морской пехотинец,М
973,Киселева,Епифан,Ануфриевич,1925-05-06,"к. Ялуторовск, алл. Новгородская, д. 9 стр. 6/4, 9",Диктор,Ж
974,Прохорова,Юлиан,Валерианович,1959-08-17,"клх Ачинск, бул. 9 Января, д. 9/7 к. 9, 642062",Невролог,М
975,Крылов,Ефрем,Юрьевна,2010-03-17,"п. Ханты-Мансийск, алл. Панфилова, д. 4 стр. 1, 71",Инженер-энергетик,Ж
976,Овчинникова,Раиса,Исидорович,1971-05-31,"с. Магас, алл. Крупской, д. 5/7, 930944",Столяр-краснодеревщик,Ж
977,Мухина,Эрнст,Тарасович,1973-02-17,"п. Малоярославец, бул. Пугачева, д. 6 к. 25, 92931",Радиолог,М
978,Мартынов,Никодим,Болеславовна,2023-10-05,"с. Заводоуковск, ул. Саратовская, д. 61, 969601",Слесарь,Ж
979,Архипов,Пелагея,Изотович,1995-04-01,"г. Тула, наб. Балтийская, д. 86, 255593",Гитарист,Ж
980,Степанов,Ярослав,Эдгардович,1924-01-09,"г. Холмск, пер. Горького, д. 150 стр. 70, 655498",Автоэлектрик,М
981,Никитина,Поликарп,Борисович,2022-12-29,"с. Апшеронск, бул. Спортивный, д. 3/2 к. 25, 93429",Стрелочник,Ж
982,Рожкова,Нестор,Измаилович,2022-06-13,"с. Тимашевск, наб. Кошевого, д. 8/8, 648539",Футуролог,М
983,Богданова,Софон,Августович,1932-04-06,"ст. Кропоткин (Краснод.), ул. Детская, д. 7 к. 822",Гирудотерапевт,Ж
984,Горбачева,Руслан,Филатович,1924-09-05,"ст. Казань, ул. Путевая, д. 379, 710569",Египтолог,М
985,Якушев,Андроник,Терентьевич,1967-05-11,"с. Медногорск, бул. Энергетический, д. 796 стр. 33",Слесарь-механик,Ж
986,Кондратьева,Савватий,Власович,2000-10-22,"ст. Магас, ул. Победы, д. 24, 882147",Зоолог,Ж
987,Рыбаков,Валерий,Бенедиктович,1957-02-03,"к. Углегорск, наб. Верхняя, д. 8 стр. 877, 799957",Шорник,Ж
988,Михайлова,Афанасий,Теймуразович,1967-10-04,"г. Терскол, наб. Волкова, д. 167, 651106",Промышленный альпинист,Ж
989,Попов,Модест,Артурович,1942-07-11,"ст. Сортавала, алл. Смоленская, д. 7 стр. 9/3, 647",Канонир,М
990,Лобанова,Прохор,Руслановна,1987-05-02,"п. Красногорск (Моск.), пр. Щетинкина, д. 3 к. 6/5",Химик,Ж
991,Васильев,Светлана,Харлампович,2021-12-11,"п. Озеры, ш. Декабристов, д. 676 к. 495, 352324",Программист,Ж
992,Пахомов,Иван,Рудольфовна,1971-09-20,"ст. Чехов, пер. Колхозный, д. 1/5 к. 9/7, 217933",Программист,М
993,Хохлова,Касьян,Геннадиевич,1934-03-09,"д. Холмск, наб. Ленская, д. 4, 500420",Семейный врач,М
994,Ларионов,Гурий,Михайловна,2019-08-16,"с. Тамбей, бул. Микрорайон, д. 38 к. 373, 969476",Географ,М
995,Моисеев,Изот,Якубович,1988-05-03,"д. Сеймчан, ул. Березовая, д. 218 к. 74, 759238",Химик-контролер,М
996,Пестов,Прокофий,Федосеевич,1997-05-07,"клх Мокшан, алл. Малая, д. 5/1 стр. 57, 798904",Автослесарь,Ж
997,Николаев,Валентина,Якубович,1954-09-12,"с. Рыбинск, алл. Ленина, д. 2/3 стр. 65, 200069",Штукатур,М
998,Никонова,Евстигней,Яковлевич,1951-04-26,"д. Корсаков, ш. Бабушкина, д. 9 стр. 7, 276045",Морской пехотинец,Ж
999,Меркушев,Олимпиада,Тимуровна,1996-05-12,"г. Руза, алл. Песочная, д. 84 стр. 5/9, 358951",Телеграфист,М
1000,Матвеева,Рубен,Яковлевна,1945-09-02,"г. Токма, бул. Трудовой, д. 12 к. 48, 860468",Пожарный,М
